lu_code	description	cn_1	cn_2	cn_3	cn_4	cn_5	cn_6	cn_7	max_net_infil_1	max_net_infil_2	max_net_infil_3	max_net_infil_4	max_net_infil_5	max_net_infil_6	max_net_infil_7	growing_season_interception_a	growing_season_interception_b	growing_season_interception_n	nongrowing_season_interception_a	nongrowing_season_interception_b	nongrowing_season_interception_n	rz_1	rz_2	rz_3	rz_4	rz_5	rz_6	rz_7
1	Corn	71.0	82.0	88.1	90.5	71.0	82.0	88.1	3.00	2.93	0.70	0.36	3.00	2.93	0.70	0.08	0	1	0.0	0	1	1.40	1.46	1.24	1.23	1.40	1.46	1.24
2	Cotton	71.0	80.0	87.0	90.0	71.0	80.0	87.0	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.06	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
3	Rice	71.0	80.0	87.0	90.0	71.0	80.0	87.0	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
4	Sorghum	72.0	81.0	88.0	91.0	72.0	81.0	88.0	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
5	Soybeans	60.0	75.1	83.6	86.9	60.0	75.1	83.6	3.00	2.93	0.70	0.36	3.00	2.93	0.70	0.08	0	1	0.0	0	1	3.92	4.09	3.48	3.44	3.92	4.09	3.48
6	Sunflower	67.0	78.0	85.0	91.0	67.0	78.0	85.0	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
10	Peanuts	67.0	78.0	85.0	91.0	67.0	78.0	85.0	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
11	Tobacco	67.0	78.0	85.0	91.0	67.0	78.0	85.0	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
12	Sweet Corn	67.0	78.0	85.0	89.0	67.0	78.0	85.0	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
13	Pop or Orn Corn	67.0	78.0	85.0	89.0	67.0	78.0	85.0	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
14	Mint	67.0	78.0	85.0	91.0	67.0	78.0	85.0	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
21	Barley	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
22	Durham Wheat	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
23	Spring Wheat	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
24	Winter Wheat	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
25	Other Small Grains	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
26	Dbl Crop WinWht/Soybeans	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
27	Rye	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
28	Oats	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
29	Millet	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
30	Spelt	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
31	Canola	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
32	Flaxseed	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
33	Safflower	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
34	Rape Seed	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
35	Mustard	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
36	Alfalfa	75.0	84.5	89.7	91.8	75.0	84.5	89.7	3.00	2.93	0.70	0.36	3.00	2.93	0.70	0.08	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
37	Other Hay/Non Alfalfa	64.0	77.6	85.2	88.2	64.0	77.6	85.2	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
38	Camelina	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
39	Buckwheat	55.2	72.1	81.6	85.3	55.2	72.1	81.6	3.50	3.42	0.81	0.42	3.50	3.42	0.81	0.08	0	1	0.0	0	1	1.24	1.30	1.10	1.09	1.24	1.30	1.10
41	Sugarbeets	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
42	Snap beans	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
43	Potatoes	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
44	Other Crops	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
45	Sugarcane	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
46	Sweet Potatoes	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
47	Misc Vegs and Fruits	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.00	0.95	0.90	0.86	1.00	0.95	0.90
48	Watermelons	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.00	0.95	0.90	0.86	1.00	0.95	0.90
49	Onions	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.00	0.95	0.90	0.86	1.00	0.95	0.90
50	Cucumbers	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.00	0.95	0.90	0.86	1.00	0.95	0.90
51	Chick Peas	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.00	0.95	0.90	0.86	1.00	0.95	0.90
52	Lentils	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
53	Peas	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.00	0.95	0.90	0.86	1.00	0.95	0.90
54	Tomatoes	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
55	Caneberries	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
56	Hops	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
57	Herbs	67.0	79.5	86.4	89.2	67.0	79.5	86.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.04	0	1	0.0	0	1	1.00	0.95	0.90	0.86	1.00	0.95	0.90
58	Clover/Wildflowers	49.0	68.3	79.0	83.3	49.0	68.3	79.0	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.05	0	1	0.0	0	1	1.50	1.42	1.35	1.29	1.50	1.42	1.35
59	Sod/Grass Seed	39.0	62.1	74.9	80.0	39.0	62.1	74.9	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.03	0	1	0.03	0	1	1.40	1.33	1.26	1.20	1.20	1.20	1.20
60	Switchgrass	49.0	68.3	79.0	83.3	49.0	68.3	79.0	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.07	0	1	0.0	0	1	1.40	1.33	1.26	1.20	1.20	1.20	1.20
61	Fallow / Idle	76.0	85.1	90.1	92.1	76.0	85.1	90.1	3.00	1.50	0.75	0.38	0.38	0.38	0.38	0.02	0	1	0.0	0	1	1.40	1.33	1.26	1.20	1.20	1.20	1.20
66	Cherries	45.0	65.8	77.4	82.0	45.0	65.8	77.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.016	0	1	2.25	2.14	2.03	1.93	2.25	2.14	2.03
67	Peaches	45.0	65.8	77.4	82.0	45.0	65.8	77.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.016	0	1	2.25	2.14	2.03	1.93	2.25	2.14	2.03
68	Apples	45.0	65.8	77.4	82.0	45.0	65.8	77.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.016	0	1	2.25	2.14	2.03	1.93	2.25	2.14	2.03
69	Grapes	58.0	73.9	82.7	86.2	58.0	73.9	82.7	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.016	0	1	2.25	2.14	2.03	1.93	2.25	2.14	2.03
70	Christmas Trees	45.0	65.8	77.4	82.0	45.0	65.8	77.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.08	0	1	2.25	2.14	2.03	1.93	2.25	2.14	2.03
71	Other Tree Crops	45.0	65.8	77.4	82.0	45.0	65.8	77.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.016	0	1	2.25	2.14	2.03	1.93	2.25	2.14	2.03
72	Citrus	45.0	65.8	77.4	82.0	45.0	65.8	77.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.016	0	1	2.25	2.14	2.03	1.93	2.25	2.14	2.03
74	Pecans	45.0	65.8	77.4	82.0	45.0	65.8	77.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.016	0	1	2.25	2.14	2.03	1.93	2.25	2.14	2.03
75	Almonds	45.0	65.8	77.4	82.0	45.0	65.8	77.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.016	0	1	2.25	2.14	2.03	1.93	2.25	2.14	2.03
76	Walnuts	36.0	60.2	73.7	79.0	36.0	60.2	73.7	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.016	0	1	2.25	2.14	2.03	1.93	2.25	2.14	2.03
77	Pears	45.0	65.8	77.4	82.0	45.0	65.8	77.4	3.00	1.50	0.75	0.38	3.00	1.50	0.75	0.08	0	1	0.016	0	1	2.25	2.14	2.03	1.93	2.25	2.14	2.03
87	wetland	55.0	72.0	81.5	85.2	85.2	85.2	85.2	3.00	1.50	0.75	0.38	0.38	0.38	0.38	0.06	0	1	0.0	0	1	1.97	1.87	1.78	1.69	1.69	1.69	1.69
